ID	CodeID	No	Name	Pos
19586	bayes-ashley	20	Bayes, Ashley	G
19587	brown-sebastien	22	Brown, Sebastien	G
19588	antwi-will	14	Antwi, Will	D
19589	bennett-alan	6	Bennett, Alan	D
19590	fenlon-jim	15	Fenlon, Jim	D
19591	francomb-george	7	Francomb, George	D
19592	jones-darren	28	Jones, Darren	D
19593	kennedy-callum	3	Kennedy, Callum	D
19594	morris-aaron	27	Morris, Aaron	D
19595	osano-curtis		Osano, Curtis	D
19596	strutton-charlie	17	Strutton, Charlie	D
19597	sweeney-daniel	26	Sweeney, Daniel	D
19598	warner-ross	1	Warner, Ross	D
19599	youga-kelly		Youga, Kelly	D
19600	arthur-chris	19	Arthur, Chris	M
19601	william-william		William, William	M
19602	fayers-charlie	31	Fayers, Charlie	M
19603	frampton-andy	5	Frampton, Andy	M
19604	fuller-barry	2	Fuller, Barry	M
19605	herbel-ryan		Herbel, Ryan	M
19606	jacquart-chace	25	Jacquart, Chace	M
19607	moore-sammy	8	Moore, Sammy	M
19608	nicholson-jake	29	Nicholson, Jake	M
19609	nightingale-will	32	Nightingale, Will	M
19610	pell-harry	12	Pell, Harry	M
19611	richards-tom	36	Richards, Tom	M
19612	sainte-luce-kevin	16	Sainte-Luce, Kevin	M
19613	sweeney-peter	4	Sweeney, Peter	M
19614	beere-tom	30	Beere, Tom	F
19615	dickenson-ben		Dickenson, Ben	F
19616	hylton-daniel	9	Hylton, Daniel	F
19617	midson-jack	10	Midson, Jack	F
19618	moore-luke_2	11	Moore, Luke	F
19619	oakley-george	34	Oakley, George	F
19620	wyke-charlie	26	Wyke, Charlie	F
