ID	CodeID	No	Name	TeamID	Team	Pos
19067	alabi-james	28	Alabi, James	mansfield-town	Mansfield Town	F
19528	arestidou-andres	25	Arestidou, Andres	morecambe	Morecambe	G
19091	allen-jamie	21	Allen, Jamie	fleetwood-town	Fleetwood Town	M
19553	amond-padraig	27	Amond, Padraig	morecambe	Morecambe	F
19588	antwi-will	14	Antwi, Will	afc-wimbledon	AFC Wimbledon	D
19441	anthony-byron	21	Anthony, Byron	newport-county	Newport County	D
19066	adelakun-hakeeb	16	Adelakun, Hakeeb	scunthorpe-united	Scunthorpe United	F
19211	atkinson-mike	26	Atkinson, Mike	york-city	York City	D
19288	azeez-adebayo	23	Azeez, Adebayo	torquay-united	Torquay United	F
19656	arnold-nick	23	Arnold, Nick	wycombe-wanderers	Wycombe Wanderers	D
19221	allen-tom	20	Allen, Tom	york-city	York City	M
19664	ainsworth-gareth	40	Ainsworth, Gareth	wycombe-wanderers	Wycombe Wanderers	M
19229	andrew-calvin	24	Andrew, Calvin	mansfield-town	Mansfield Town	F
19471	atkinson-robert	25	Atkinson, Robert	accrington-stanley	Accrington Stanley	D
19600	arthur-chris	19	Arthur, Chris	afc-wimbledon	AFC Wimbledon	M
19261	ashby-josh	38	Ashby, Josh	oxford-united	Oxford United	F
19267	anderson-lloyd	30	Anderson, Lloyd	dagenham-redbridge	Dagenham & Redbridge	G
19202	alexander-gary	9	Alexander, Gary	burton-albion	Burton Albion	F
19324	alessandra-lewis	7	Alessandra, Lewis	plymouth-argyle	Plymouth Argyle	F
19450	amdi-holloway-aaron	24	Amdi-Holloway, Aaron	newport-county	Newport County	M
19166	auger-ryan	24	Auger, Ryan	southend-united	Southend United 	M
19561	austin-neil	2	Austin, Neil	hartlepool-united	Hartlepool United	D
15655	appiah-kwesi	37	Appiah, Kwesi	afc-wimbledon	AFC Wimbledon	F
19165	atkinson-will	12	Atkinson, Will	southend-united	Southend United 	M
19428	agyemang-patrick	23	Agyemang, Patrick	portsmouth	Portsmouth	F
19416	awford-nick	24	Awford, Nick	portsmouth	Portsmouth	M
15779	alfei-daniel	15	Alfei, Daniel	portsmouth	Portsmouth	D
19481	aldred-tom	5	Aldred, Tom	accrington-stanley	Accrington Stanley	M
19103	bunny-joe	39	Bunny, Joe	rochdale	Rochdale	F
19113	barton-adam	29	Barton, Adam	fleetwood-town	Fleetwood Town	D
19124	blair-matty	32	Blair, Matty	northampton-town	Northampton Town	M
19726	brundle-mitch	32	Brundle, Mitch	cheltenham-town	Cheltenham Town	M
19136	ball-david	23	Ball, David	fleetwood-town	Fleetwood Town	F
19146	bentley-daniel	17	Bentley, Daniel	southend-united	Southend United 	G
19149	banton-josh	27	Banton, Josh	southend-united	Southend United 	D
19150	bennett-julian	19	Bennett, Julian	southend-united	Southend United 	D
19151	bolger-cian	15	Bolger, Cian	southend-united	Southend United 	D
19429	barcham-andy	7	Barcham, Andy	portsmouth	Portsmouth	F
19167	bridge-jack	30	Bridge, Jack	southend-united	Southend United 	M
19503	butterfield-danny	2	Butterfield, Danny	exeter-city	Exeter City	D
19393	boswell-liam		Boswell, Liam	bury	Bury	F
19194	bell-lee	7	Bell, Lee	burton-albion	Burton Albion	M
19222	brobbell-ryan	27	Brobbell, Ryan	york-city	York City	M
19230	bowman-ryan	19	Bowman, Ryan	york-city	York City	F
19239	bevans-matt	34	Bevans, Matt	oxford-united	Oxford United	D
19407	bird-ryan	18	Bird, Ryan	portsmouth	Portsmouth	D
19289	bingham-billy	6	Bingham, Billy	dagenham-redbridge	Dagenham & Redbridge	F
19303	bencherif-hamza	20	Bencherif, Hamza	plymouth-argyle	Plymouth Argyle	D
19304	berry-durrell	2	Berry, Durrell	plymouth-argyle	Plymouth Argyle	D
19305	blanchard-maximo	4	Blanchard, Maximo	plymouth-argyle	Plymouth Argyle	D
19306	branston-guy	5	Branston, Guy	plymouth-argyle	Plymouth Argyle	D
19312	banton-jason	20	Banton, Jason	plymouth-argyle	Plymouth Argyle	M
19313	blizzard-dominic	11	Blizzard, Dominic	plymouth-argyle	Plymouth Argyle	M
19314	boco-romuald	8	Boco, Romuald	plymouth-argyle	Plymouth Argyle	M
19336	beevers-lee	17	Beevers, Lee	mansfield-town	Mansfield Town	D
19337	black-paul	3	Black, Paul	mansfield-town	Mansfield Town	D
19502	bennett-scott	4	Bennett, Scott	exeter-city	Exeter City	D
19472	buxton-adam	4	Buxton, Adam	burton-albion	Burton Albion	D
19356	briscoe-louis	7	Briscoe, Louis	mansfield-town	Mansfield Town	F
19365	burke-james	27	Burke, James	bury	Bury	D
19451	burge-ryan	15	Burge, Ryan	newport-county	Newport County	M
19494	beattie-james	21	Beattie, James	accrington-stanley	Accrington Stanley	F
19495	bowerman-george	44	Bowerman, George	accrington-stanley	Accrington Stanley	F
15512	barnard-lee		Barnard, Lee	southend-united	Southend United 	F
19501	baldwin-pat	5	Baldwin, Pat	exeter-city	Exeter City	D
19519	bauza-guillem		Bauza, Guillem	exeter-city	Exeter City	F
19530	beesley-shaun	2	Beesley, Shaun	bury	Bury	D
19531	bell-will	18	Bell, Will	morecambe	Morecambe	D
19562	burgess-christian	35	Burgess, Christian	hartlepool-united	Hartlepool United	D
19568	barmby-jack	12	Barmby, Jack	hartlepool-united	Hartlepool United	M
19586	bayes-ashley	20	Bayes, Ashley	afc-wimbledon	AFC Wimbledon	G
19587	brown-sebastien	22	Brown, Sebastien	afc-wimbledon	AFC Wimbledon	G
19589	bennett-alan	6	Bennett, Alan	afc-wimbledon	AFC Wimbledon	D
19417	bradley-sonny	6	Bradley, Sonny	portsmouth	Portsmouth	M
15634	blake-darcy		Blake, Darcy	newport-county	Newport County	D
19614	beere-tom	30	Beere, Tom	afc-wimbledon	AFC Wimbledon	F
19665	bloomfield-matt	10	Bloomfield, Matt	wycombe-wanderers	Wycombe Wanderers	M
19689	broghammer-fabian	11	Broghammer, Fabian	bristol-rovers	Bristol Rovers	D
19690	brown-lee	14	Brown, Lee	bristol-rovers	Bristol Rovers	D
19697	beardsley-chris	19	Beardsley, Chris	bristol-rovers	Bristol Rovers	M
19707	brunt-ryan	26	Brunt, Ryan	bristol-rovers	Bristol Rovers	F
19717	brown-scott-p	1	Brown, Scott	cheltenham-town	Cheltenham Town	G
19719	bowen-james	33	Bowen, James	cheltenham-town	Cheltenham Town	D
19720	braham-barrett-craig	22	Braham-Barrett, Craig	cheltenham-town	Cheltenham Town	D
19721	brown-troy	5	Brown, Troy	cheltenham-town	Cheltenham Town	D
18231	bettinelli-marcus	26	Bettinelli, Marcus	accrington-stanley	Accrington Stanley	G
19651	bull-nikki	1	Bull, Nikki	wycombe-wanderers	Wycombe Wanderers	G
19011	barrington-josh	40	Barrington, Josh	chesterfield	Chesterfield	G
19020	banks-oliver	2	Banks, Oliver	chesterfield	Chesterfield	M
19022	broadhead-jack	18	Broadhead, Jack	chesterfield	Chesterfield	M
19037	beesley-jake	44	Beesley, Jake	chesterfield	Chesterfield	F
19378	burgess-scott	33	Burgess, Scott	bury	Bury	M
19055	burdett-noel	26	Burdett, Noel	scunthorpe-united	Scunthorpe United	M
19068	burton-deon	8	Burton, Deon	scunthorpe-united	Scunthorpe United	F
19080	bennett-rhys	3	Bennett, Rhys	rochdale	Rochdale	D
19092	barry-murphy-brian	20	Barry-Murphy, Brian	rochdale	Rochdale	M
19430	craddock-tom	10	Craddock, Tom	portsmouth	Portsmouth	F
19153	coker-ben	3	Coker, Ben	southend-united	Southend United 	D
19046	canavan-niall	6	Canavan, Niall	scunthorpe-united	Scunthorpe United	D
19154	coughlan-graham		Coughlan, Graham	southend-united	Southend United 	D
19510	cane-jacob	34	Cane, Jacob	exeter-city	Exeter City	M
19408	chorley-ben	26	Chorley, Ben	portsmouth	Portsmouth	D
19081	cavanagh-peter	4	Cavanagh, Peter	rochdale	Rochdale	D
19056	collins-michael	35	Collins, Michael	afc-wimbledon	AFC Wimbledon	M
19563	collins-sam	5	Collins, Sam	hartlepool-united	Hartlepool United	D
19137	carr-daniel	32	Carr, Daniel	fleetwood-town	Fleetwood Town	F
19138	cartright-max	32	Cartright, Max	fleetwood-town	Fleetwood Town	F
19698	clarke-ollie	24	Clarke, Ollie	bristol-rovers	Bristol Rovers	M
19708	clarkson-david_2	7	Clarkson, David	bristol-rovers	Bristol Rovers	F
19093	camps-callum	28	Camps, Callum	rochdale	Rochdale	M
19637	carter-darren	4	Carter, Darren	northampton-town	Northampton Town	M
19212	chamberlain-tom	22	Chamberlain, Tom	york-city	York City	D
19223	carson-josh	12	Carson, Josh	york-city	York City	M
19299	cole-jake	1	Cole, Jake	plymouth-argyle	Plymouth Argyle	G
17881	coulthirst-shaquile	27	Coulthirst, Shaquile	torquay-united	Torquay United	F
19268	connors-jack	26	Connors, Jack	dagenham-redbridge	Dagenham & Redbridge	G
19152	chambers-luke	25	Chambers, Luke	southend-united	Southend United 	D
19330	cain-michael	24	Cain, Michael	mansfield-town	Mansfield Town	G
19076	collis-steven	23	Collis, Steven	rochdale	Rochdale	G
19418	close-ben	33	Close, Ben	portsmouth	Portsmouth	M
19348	clements-chris	19	Clements, Chris	mansfield-town	Mansfield Town	M
19349	clucas-samuel	11	Clucas, Samuel	mansfield-town	Mansfield Town	M
19734	cureton-jamie	7	Cureton, Jamie	cheltenham-town	Cheltenham Town	F
19231	coulson-michael	7	Coulson, Michael	york-city	York City	F
19168	clifford-conor	16	Clifford, Conor	southend-united	Southend United 	M
19363	charles-cook-reice	30	Charles-Cook, Reice	bury	Bury	G
19366	cameron-nathan	5	Cameron, Nathan	bury	Bury	D
19175	corr-barry	10	Corr, Barry	southend-united	Southend United 	F
19012	crossley-mark		Crossley, Mark	chesterfield	Chesterfield	G
19379	carole-sebastien		Carole, Sebastien	bury	Bury	M
19380	chippendale-aiden	23	Chippendale, Aiden	bury	Bury	M
19236	clarke-ryan	1	Clarke, Ryan	oxford-united	Oxford United	G
19237	crocombe-max	21	Crocombe, Max	oxford-united	Oxford United	G
19645	cristian-cristian	10	Cristian, Cristian	northampton-town	Northampton Town	F
19185	cansdell-sherriff-shane	25	Cansdell-Sherriff, Shane	burton-albion	Burton Albion	D
19569	compton-jack	14	Compton, Jack	hartlepool-united	Hartlepool United	M
19114	cresswell-ryan	16	Cresswell, Ryan	fleetwood-town	Fleetwood Town	D
19626	collins-lee	6	Collins, Lee	northampton-town	Northampton Town	D
19680	craig-steven	20	Craig, Steven	wycombe-wanderers	Wycombe Wanderers	F
19646	connell-alan	18	Connell, Alan	northampton-town	Northampton Town	F
19504	coles-danny	6	Coles, Danny	exeter-city	Exeter City	D
19403	carson-trevor	1	Carson, Trevor	bury	Bury	G
19452	chapman-adam	7	Chapman, Adam	newport-county	Newport County	M
19016	cooper-liam	6	Cooper, Liam	chesterfield	Chesterfield	D
19462	crow-danny	9	Crow, Danny	newport-county	Newport County	F
19699	clucas-seanan	25	Clucas, Seanan	bristol-rovers	Bristol Rovers	M
19315	copp-jordan		Copp, Jordan	plymouth-argyle	Plymouth Argyle	M
