GameID,Date,Opponent,GoalsScored,GoalsAllowed,Decision,Venue
19420,2013-08-03,Torquay United,1,1,tie,Plainmoor Ground
19449,2013-08-10,Wycombe Wanderers,1,0,win,The Cherry Red Records Stadium
19452,2013-08-17,Exeter City,0,2,loss,St James' Park
19463,2013-08-24,Scunthorpe United,3,2,win,The Cherry Red Records Stadium
19477,2013-08-31,Fleetwood Town,2,0,win,The Cherry Red Records Stadium
19499,2013-09-07,York City,2,0,win,Bootham Crescent
19503,2013-09-14,Chesterfield,0,2,loss,Proact Stadium
19513,2013-09-21,Burton Albion,3,1,win,The Cherry Red Records Stadium
19527,2013-09-28,Cheltenham Town,0,1,loss,Abbey Business Stadium
19538,2013-10-05,Northampton Town,0,2,loss,The Cherry Red Records Stadium
19549,2013-10-12,Accrington Stanley,1,1,tie,The Cherry Red Records Stadium
19565,2013-10-19,Morecambe,1,1,tie,Globe Arena
19577,2013-10-22,Hartlepool United,1,3,loss,Victoria Park
19583,2013-10-26,Oxford United,0,2,loss,The Cherry Red Records Stadium
19606,2013-11-02,Rochdale,2,1,win,Spotland Stadium
19608,2013-11-16,Portsmouth,4,0,win,The Cherry Red Records Stadium
19621,2013-11-23,Bury,1,1,tie,JD Stadium
19632,2013-11-26,Dagenham & Redbridge,1,1,tie,The Cherry Red Records Stadium
19643,2013-11-30,Bristol Rovers,0,3,loss,The Memorial Stadium
19658,2013-12-14,Mansfield Town,0,0,tie,The Cherry Red Records Stadium
19681,2013-12-26,Southend United ,0,1,loss,The Cherry Red Records Stadium
19690,2013-12-29,Plymouth Argyle,1,1,tie,The Cherry Red Records Stadium
19701,2014-01-01,Dagenham & Redbridge,0,1,loss,The L.B Barking & Dagenham Stadium
19712,2014-01-04,Wycombe Wanderers,3,0,win,Adams Park
19715,2014-01-11,Torquay United,0,2,loss,The Cherry Red Records Stadium
19731,2014-01-18,Scunthorpe United,0,0,tie,Glanford Park
20077,2014-01-25,Exeter City,2,1,win,The Cherry Red Records Stadium
19742,2014-01-28,Hartlepool United,2,1,win,The Cherry Red Records Stadium
19754,2014-02-01,Oxford United,1,2,loss,The Kassam Stadium
19759,2014-02-08,Rochdale,0,3,loss,The Cherry Red Records Stadium
19779,2014-02-15,Portsmouth,0,1,loss,Fratton Park
19788,2014-02-22,Bury,0,1,loss,The Cherry Red Records Stadium
19803,2014-02-25,Newport County,2,1,win,Rodney Parade
19822,2014-03-01,Fleetwood Town,0,0,tie,Highbury Stadium
19834,2014-03-08,York City,0,1,loss,The Cherry Red Records Stadium
19845,2014-03-11,Chesterfield,1,1,tie,The Cherry Red Records Stadium
19856,2014-03-15,Burton Albion,1,1,tie,Pirelli Stadium
19878,2014-03-22,Cheltenham Town,4,3,win,The Cherry Red Records Stadium
19894,2014-03-25,Northampton Town,2,2,tie,Sixfields Stadium
19813,2014-03-29,Mansfield Town,0,1,loss,One Call Stadium
19900,2014-04-05,Bristol Rovers,0,0,tie,The Cherry Red Records Stadium
19922,2014-04-12,Southend United ,1,0,win,Roots Hall
19925,2014-04-18,Newport County,2,2,tie,The Cherry Red Records Stadium
19959,2014-04-21,Plymouth Argyle,2,1,win,Home Park
19963,2014-04-26,Morecambe,0,3,loss,The Cherry Red Records Stadium
19975,2014-05-03,Accrington Stanley,2,3,loss,Crowne Ground
