Name	Team	Pos	SH	SG	G	A	OF	SV
Alabi, James	Mansfield Town	F	2	1	0	0	0	0
Arestidou, Andres	Morecambe	G	0	0	0	0	0	0
Allen, Jamie	Fleetwood Town	M	26	11	6	1	2	0
Amond, Padraig	Morecambe	F	51	27	11	2	19	0
Antwi, Will	AFC Wimbledon	D	3	2	1	0	2	0
Anthony, Byron	Newport County	D	1	0	0	0	0	0
Adelakun, Hakeeb	Scunthorpe United	F	16	7	2	3	2	0
Atkinson, Mike	York City	D	0	0	0	0	0	0
Azeez, Adebayo	Torquay United	F	25	11	5	2	17	0
Arnold, Nick	Wycombe Wanderers	D	17	10	0	2	1	0
Allen, Tom	York City	M	3	1	0	0	0	0
Ainsworth, Gareth	Wycombe Wanderers	M	0	0	0	0	0	0
Andrew, Calvin	Mansfield Town	F	23	8	1	2	11	0
Atkinson, Robert	Accrington Stanley	D	0	0	0	0	1	0
Arthur, Chris	AFC Wimbledon	M	9	3	1	1	0	0
Ashby, Josh	Oxford United	F	0	0	0	0	0	0
Anderson, Lloyd	Dagenham & Redbridge	G	0	0	0	0	0	0
Alexander, Gary	Burton Albion	F	9	3	0	0	4	0
Alessandra, Lewis	Plymouth Argyle	F	63	23	7	4	11	0
Amdi-Holloway, Aaron	Newport County	M	2	0	0	0	0	0
Auger, Ryan	Southend United 	M	0	0	0	0	0	0
Austin, Neil	Hartlepool United	D	2	0	0	0	0	0
Appiah, Kwesi	AFC Wimbledon	F	19	7	3	1	8	0
Atkinson, Will	Southend United 	M	33	5	2	1	1	0
Agyemang, Patrick	Portsmouth	F	24	12	4	3	15	0
Awford, Nick	Portsmouth	M	0	0	0	0	0	0
Alfei, Daniel	Portsmouth	D	3	0	0	1	0	0
Aldred, Tom	Accrington Stanley	M	16	7	2	1	3	0
Bunny, Joe	Rochdale	F	16	5	3	1	16	0
Barton, Adam	Fleetwood Town	D	0	0	0	0	0	0
Blair, Matty	Northampton Town	M	22	10	4	0	1	0
Brundle, Mitch	Cheltenham Town	M	6	2	0	0	0	0
Ball, David	Fleetwood Town	F	59	32	8	1	23	0
Bentley, Daniel	Southend United 	G	1	1	0	0	0	68
Banton, Josh	Southend United 	D	0	0	0	0	0	0
Bennett, Julian	Southend United 	D	0	0	0	0	0	0
Bolger, Cian	Southend United 	D	1	1	0	0	0	0
Barcham, Andy	Portsmouth	F	22	12	3	1	0	0
Bridge, Jack	Southend United 	M	0	0	0	0	0	0
Butterfield, Danny	Exeter City	D	3	1	0	1	0	0
Boswell, Liam	Bury	F	0	0	0	0	0	0
Bell, Lee	Burton Albion	M	12	6	1	1	1	0
Brobbell, Ryan	York City	M	13	8	4	3	1	0
Bowman, Ryan	York City	F	31	20	8	2	7	0
Bevans, Matt	Oxford United	D	0	0	0	0	0	0
Bird, Ryan	Portsmouth	D	11	7	3	0	6	0
Bingham, Billy	Dagenham & Redbridge	F	12	3	0	0	1	0
Bencherif, Hamza	Plymouth Argyle	D	5	1	0	0	0	0
Berry, Durrell	Plymouth Argyle	D	4	1	1	2	1	0
Blanchard, Maximo	Plymouth Argyle	D	6	3	1	1	0	0
Branston, Guy	Plymouth Argyle	D	2	2	0	0	0	0
Banton, Jason	Plymouth Argyle	M	16	7	1	3	4	0
Blizzard, Dominic	Plymouth Argyle	M	7	1	1	0	2	0
Boco, Romuald	Plymouth Argyle	M	19	5	1	0	7	0
Beevers, Lee	Mansfield Town	D	2	1	0	1	1	0
Black, Paul	Mansfield Town	D	0	0	0	0	0	0
Bennett, Scott	Exeter City	D	37	16	6	1	12	0
Buxton, Adam	Burton Albion	D	5	0	0	0	0	0
Briscoe, Louis	Mansfield Town	F	0	0	0	0	0	0
Burke, James	Bury	D	0	0	0	0	0	0
Burge, Ryan	Newport County	M	15	6	2	1	1	0
Beattie, James	Accrington Stanley	F	0	0	0	0	0	0
Bowerman, George	Accrington Stanley	F	13	9	3	2	6	0
Barnard, Lee	Southend United 	F	18	5	1	0	7	0
Baldwin, Pat	Exeter City	D	4	1	0	0	0	0
Bauza, Guillem	Exeter City	F	0	0	0	0	0	0
Beesley, Shaun	Bury	D	6	1	0	1	2	0
Bell, Will	Morecambe	D	0	0	0	0	0	0
